word,number_of_occurences
prehovoriť,7
pochovať,7
variť,7
horár,7
mlátiť,7
zbadať,7
smäd,7
pominúť,7
nebárs,7
krátky,7
dunaja,7
objímať,7
radovať,7
vyžiť,7
striehnuť,7
presvedčiť,7
maštaľ,7
vysadnúť,7
privítať,7
koštialik,7
studňa,7
poručeno,7
šedivý,7
zodvihnúť,7
chodník,7
požehnať,7
pochodiť,7
trhať,7
večný,7
nepoznať,7
obrus,7
unúvať,7
reťaz,7
napred,7
šibnúť,7
koleso,7
hlboko,7
vytrhnúť,7
prah,7
mesiac,7
vníde,7
kam,7
paloš,7
chocholuška,7
rebrík,7
obruštek,7
prestrieť,7
klobúk,7
neslýchaný,7
ľúto,7
modliť,7
pletka,7
veselo,7
hodne,7
ručník,7
orol,7
priskočiť,7
ustanoviť,7
čušať,7
akýže,7
údolie,7
porodiť,7
napásť,7
spasenie,7
jahoda,7
polievka,7
sypáreň,7
kačica,6
piaty,6
kaša,6
kadejaký,6
duriť,6
uhlie,6
ký,6
vypovedať,6
šelma,6
kat,6
päta,6
naši,6
zasadnúť,6
dovedna,6
syr,6
zájsť,6
zapískať,6
hrnúť,6
jazyk,6
dotknúť,6
zlata,6
nehnúť,6
vnišiel,6
rozmyslieť,6
zdvihnúť,6
ozva,6
paša,6
priviesť,6
slych,6
bodaj,6
mlčať,6
zápoľu,6
podávať,6
váha,6
čosi,6
kňažná,6
preberať,6
predložiť,6
nevinný,6
prezvedieť,6
slepý,6
dopočuť,6
hlboký,6
letáčik,6
lono,6
slniečko,6
sklený,6
očima,6
zadržať,6
dno,6
chváliť,6
pazucha,6
oznámiť,6
spomôcť,6
ukazovať,6
skusy,6
zmámiť,6
pozbierať,6
nabrať,6
hotový,6
pláca,6
uhnúť,6
znak,6
ačak,6
ľahký,6
rozísť,6
neukázať,6
dlžen,6
nechže,6
palec,6
daromný,6
odstúpiť,6
zaslúžiť,6
podeliť,6
volky,6
poskladať,6
zápole,6
potíšku,6
zapriahnuť,6
bratov,6
hŕba,6
jednako,6
tučný,6
čí,6
vyspať,6
odkiaľ,6
olej,6
nespať,6
kamsi,6
janík,6
odložiť,6
nevládať,6
čisto,6
poľovačka,6
divno,6
posadať,6
odpísať,6
bozkávať,6
mocne,6
švárny,6
janka,6
umienil,6
hľaďže,6
nachytať,6
trčať,6
netreba,6
zastrčiť,6
odpraviť,6
pätiť,6
jež,6
bolesť,6
rozprávač,6
behať,6
motať,6
dookola,6
zázrak,6
sotvaže,6
merica,6
navrátiť,6
jazero,6
akonáhle,6
pospolu,6
nedostať,6
dopovedať,6
roľa,6
konopa,6
motyka,6
obuch,6
štebotať,6
mlyn,6
bič,6
vracať,6
lámať,6
ústrety,6
podpis,6
slza,6
vynájsť,6
šíp,6
odpadnúť,6
holúbok,6
nehovoriť,6
mŕtvy,6
ľudský,6
morský,6
bláznov,6
truhla,6
veselý,6
temnica,6
kocúr,6
pohár,6
vilkovi,6
veniec,6
kupec,6
veža,6
zahnať,6
lopta,6
vyvoliť,6
idi,6
obraz,6
závoz,6
psík,6
sekať,6
rozmýšľať,6
prihodiť,6
medený,6
dohoniť,6
vychudnutý,6
pozdraviť,6
snívať,6
chlapcov,6
črep,6
zaklopať,6
marušku,6
holubica,6
stĺp,6
šteňa,6
psíček,6
raz;,6
vandrovka,5
vyže,5
vandrovku;,5
šesť,5
chyžka,5
izbička,5
lavica,5
nazrieť,5
hromada,5
posvietiť,5
žeravý,5
zadný,5
tresnúť,5
jeseň,5
zápoli,5
jaskyňa,5
striebro,5
zápoľa,5
prút,5
posledné,5
vystúpiť,5
beda,5
bedákať,5
podvečer,5
začuť,5
utíšiť,5
inde,5
pretože,5
priznať,5
sypať,5
prútik,5
nebolo;,5
škovránok,5
zaletieť,5
poriadny,5
prechodiť,5
milo,5
sprvu,5
vydaj,5
podieť,5
vše,5
ťažký,5
ďaleký,5
rudný,5
veriť,5
prisľúbiť,5
človečí,5
mora,5
sadať,5
prídi,5
mamička,5
zaďakovať,5
povedzže,5
slabnúť,5
prečože,5
slabý,5
nejesť,5
oblek,5
strela,5
siaha,5
nevziať,5
predošlý,5
svitnúť,5
otvárať,5
hosť,5
požehnanie,5
šťastný,5
prehltnúť,5
hotoviť,5
sviňa,5
povodiť,5
odniesť,5
neujsť,5
drevený,5
veselie,5
nedávať,5
panna,5
okríknuť,5
dopraviť,5
ušima,5
rúče,5
teplo,5
leto,5
nesúci,5
mastiť,5
ponúkať,5
zohnúť,5
voliako,5
zvedieť,5
zelený,5
sliepka,5
rozosmiať,5
spadnúť,5
príučka,5
výber,5
deľba,5
trvať,5
vydriapať,5
poklad,5
ver,5
hrach,5
nestačiť,5
tajiť,5
slanina,5
čeľaď,5
mŕtva,5
pošťastiť,5
